response_id,customer_id,score,category,comment,submitted_at,created_at
NPS-0000017,CUST-00008,7,Passive,Support could be faster.,2026-04-07T18:18:07,2026-04-07T18:18:07
NPS-0000018,CUST-00008,7,Passive,Getting better with each update.,2026-05-26T02:21:40,2026-05-26T02:21:40
NPS-0000019,CUST-00009,6,Detractor,Support takes too long to respond.,2026-04-13T07:18:44,2026-04-13T07:18:44
NPS-0000020,CUST-00010,2,Detractor,Considering switching to a competitor.,2026-04-05T02:28:11,2026-04-05T02:28:11
NPS-0000021,CUST-00011,6,Detractor,Had major outages last month.,2026-04-12T04:25:39,2026-04-12T04:25:39
NPS-0000022,CUST-00011,8,Passive,Support could be faster.,2026-06-21T23:39:04,2026-06-21T23:39:04
NPS-0000023,CUST-00011,6,Detractor,Data sync issues are frustrating.,2026-05-25T05:08:31,2026-05-25T05:08:31
NPS-0000024,CUST-00012,10,Promoter,Love the product! Changed how we work.,2026-04-15T15:20:00,2026-04-15T15:20:00
NPS-0000025,CUST-00012,6,Detractor,Too expensive for what it offers.,2026-05-23T23:40:59,2026-05-23T23:40:59
NPS-0000026,CUST-00012,8,Passive,Getting better with each update.,2026-06-09T21:23:52,2026-06-09T21:23:52
NPS-0000027,CUST-00013,9,Promoter,Best tool we've used. Highly recommend.,2026-06-09T14:31:09,2026-06-09T14:31:09
NPS-0000028,CUST-00014,2,Detractor,Data sync issues are frustrating.,2026-05-04T20:55:35,2026-05-04T20:55:35
NPS-0000029,CUST-00014,9,Promoter,Best tool we've used. Highly recommend.,2026-04-12T21:08:03,2026-04-12T21:08:03
NPS-0000030,CUST-00014,1,Detractor,Support takes too long to respond.,2026-04-23T17:59:24,2026-04-23T17:59:24
NPS-0000031,CUST-00015,4,Detractor,Had major outages last month.,2026-04-22T15:21:20,2026-04-22T15:21:20
NPS-0000032,CUST-00016,0,Detractor,Data sync issues are frustrating.,2026-06-08T01:36:45,2026-06-08T01:36:45
NPS-0000033,CUST-00016,0,Detractor,Support takes too long to respond.,2026-04-15T02:53:01,2026-04-15T02:53:01
NPS-0000034,CUST-00017,3,Detractor,Too expensive for what it offers.,2026-05-25T11:33:08,2026-05-25T11:33:08
NPS-0000035,CUST-00018,5,Detractor,Data sync issues are frustrating.,2026-05-14T07:15:34,2026-05-14T07:15:34
NPS-0000036,CUST-00019,5,Detractor,Too expensive for what it offers.,2026-06-21T08:15:07,2026-06-21T08:15:07
NPS-0000037,CUST-00019,4,Detractor,Considering switching to a competitor.,2026-03-31T23:30:33,2026-03-31T23:30:33
NPS-0000038,CUST-00020,4,Detractor,Too expensive for what it offers.,2026-06-20T07:56:00,2026-06-20T07:56:00
NPS-0000039,CUST-00021,9,Promoter,Game changer for our analytics workflow.,2026-04-26T16:46:29,2026-04-26T16:46:29
NPS-0000040,CUST-00022,0,Detractor,Too expensive for what it offers.,2026-05-26T11:25:47,2026-05-26T11:25:47
NPS-0000041,CUST-00022,8,Passive,Good product but missing some features.,2026-06-02T11:25:33,2026-06-02T11:25:33
NPS-0000042,CUST-00023,1,Detractor,Had major outages last month.,2026-06-22T05:44:06,2026-06-22T05:44:06
NPS-0000043,CUST-00023,2,Detractor,Had major outages last month.,2026-04-19T19:27:11,2026-04-19T19:27:11
NPS-0000044,CUST-00023,3,Detractor,Too expensive for what it offers.,2026-06-12T19:36:07,2026-06-12T19:36:07
NPS-0000045,CUST-00024,3,Detractor,Support takes too long to respond.,2026-05-16T21:22:04,2026-05-16T21:22:04
NPS-0000046,CUST-00024,7,Passive,Decent value for money.,2026-05-27T11:03:39,2026-05-27T11:03:39
NPS-0000047,CUST-00025,8,Passive,Decent value for money.,2026-05-03T16:06:43,2026-05-03T16:06:43
NPS-0000048,CUST-00025,10,Promoter,Best tool we've used. Highly recommend.,2026-05-19T16:43:05,2026-05-19T16:43:05
NPS-0000049,CUST-00025,9,Promoter,Game changer for our analytics workflow.,2026-04-16T07:09:01,2026-04-16T07:09:01
NPS-0000050,CUST-00026,4,Detractor,Too many bugs lately.,2026-05-28T05:28:03,2026-05-28T05:28:03
NPS-0000051,CUST-00027,5,Detractor,Data sync issues are frustrating.,2026-06-27T22:02:14,2026-06-27T22:02:14
NPS-0000052,CUST-00027,7,Passive,Works well most of the time.,2026-04-10T15:06:15,2026-04-10T15:06:15
NPS-0000053,CUST-00027,6,Detractor,Data sync issues are frustrating.,2026-05-03T23:34:50,2026-05-03T23:34:50
NPS-0000054,CUST-00028,2,Detractor,Data sync issues are frustrating.,2026-05-22T14:38:08,2026-05-22T14:38:08
NPS-0000055,CUST-00029,7,Passive,Getting better with each update.,2026-05-31T22:34:49,2026-05-31T22:34:49
NPS-0000056,CUST-00030,3,Detractor,Data sync issues are frustrating.,2026-06-27T19:51:14,2026-06-27T19:51:14
NPS-0000057,CUST-00031,4,Detractor,Support takes too long to respond.,2026-05-06T17:29:05,2026-05-06T17:29:05
NPS-0000058,CUST-00031,2,Detractor,Data sync issues are frustrating.,2026-06-28T09:40:30,2026-06-28T09:40:30
NPS-0000059,CUST-00032,7,Passive,Good product but missing some features.,2026-05-01T22:44:49,2026-05-01T22:44:49
NPS-0000060,CUST-00032,10,Promoter,Best tool we've used. Highly recommend.,2026-06-18T07:29:49,2026-06-18T07:29:49
NPS-0000061,CUST-00033,9,Promoter,Saves us hours every week. Worth every penny.,2026-04-12T17:47:27,2026-04-12T17:47:27
NPS-0000062,CUST-00033,9,Promoter,Best tool we've used. Highly recommend.,2026-04-08T02:57:00,2026-04-08T02:57:00
NPS-0000063,CUST-00033,10,Promoter,Game changer for our analytics workflow.,2026-05-12T07:14:30,2026-05-12T07:14:30
NPS-0000064,CUST-00034,10,Promoter,Game changer for our analytics workflow.,2026-06-21T09:30:43,2026-06-21T09:30:43
NPS-0000065,CUST-00034,9,Promoter,Love the product! Changed how we work.,2026-04-21T02:27:50,2026-04-21T02:27:50
NPS-0000066,CUST-00034,10,Promoter,Best tool we've used. Highly recommend.,2026-06-17T11:43:58,2026-06-17T11:43:58
NPS-0000067,CUST-00035,8,Passive,Works well most of the time.,2026-05-29T07:01:31,2026-05-29T07:01:31
NPS-0000068,CUST-00035,0,Detractor,Had major outages last month.,2026-06-02T07:52:55,2026-06-02T07:52:55
NPS-0000069,CUST-00036,4,Detractor,Had major outages last month.,2026-05-13T16:30:21,2026-05-13T16:30:21
NPS-0000070,CUST-00036,4,Detractor,Support takes too long to respond.,2026-04-08T16:49:48,2026-04-08T16:49:48
NPS-0000071,CUST-00037,4,Detractor,Data sync issues are frustrating.,2026-04-28T00:51:39,2026-04-28T00:51:39
NPS-0000072,CUST-00038,6,Detractor,Had major outages last month.,2026-05-29T00:27:48,2026-05-29T00:27:48
NPS-0000073,CUST-00038,10,Promoter,Best tool we've used. Highly recommend.,2026-04-16T14:57:09,2026-04-16T14:57:09
NPS-0000074,CUST-00039,4,Detractor,Support takes too long to respond.,2026-04-02T11:58:05,2026-04-02T11:58:05
NPS-0000075,CUST-00039,5,Detractor,Too expensive for what it offers.,2026-06-27T09:19:47,2026-06-27T09:19:47
NPS-0000076,CUST-00039,9,Promoter,Saves us hours every week. Worth every penny.,2026-06-16T01:54:44,2026-06-16T01:54:44
NPS-0000077,CUST-00040,8,Passive,Good product but missing some features.,2026-05-15T22:07:55,2026-05-15T22:07:55
NPS-0000078,CUST-00040,4,Detractor,Considering switching to a competitor.,2026-05-03T01:37:14,2026-05-03T01:37:14
NPS-0000079,CUST-00041,9,Promoter,Game changer for our analytics workflow.,2026-06-20T05:57:03,2026-06-20T05:57:03
NPS-0000080,CUST-00042,4,Detractor,Too many bugs lately.,2026-05-15T05:27:34,2026-05-15T05:27:34
NPS-0000081,CUST-00042,9,Promoter,Love the product! Changed how we work.,2026-04-30T00:07:13,2026-04-30T00:07:13
NPS-0000082,CUST-00042,9,Promoter,Saves us hours every week. Worth every penny.,2026-06-07T04:32:45,2026-06-07T04:32:45
NPS-0000083,CUST-00043,8,Passive,Support could be faster.,2026-06-23T00:52:36,2026-06-23T00:52:36
NPS-0000084,CUST-00044,8,Passive,Works well most of the time.,2026-04-11T08:43:02,2026-04-11T08:43:02
NPS-0000085,CUST-00044,6,Detractor,Considering switching to a competitor.,2026-06-16T11:36:07,2026-06-16T11:36:07
NPS-0000086,CUST-00044,7,Passive,Getting better with each update.,2026-04-30T16:35:33,2026-04-30T16:35:33
NPS-0000087,CUST-00045,4,Detractor,Too many bugs lately.,2026-06-28T10:16:06,2026-06-28T10:16:06
NPS-0000088,CUST-00046,3,Detractor,Data sync issues are frustrating.,2026-04-18T10:23:53,2026-04-18T10:23:53
NPS-0000089,CUST-00047,5,Detractor,Too expensive for what it offers.,2026-04-29T15:33:06,2026-04-29T15:33:06
NPS-0000090,CUST-00047,10,Promoter,Game changer for our analytics workflow.,2026-05-25T02:39:57,2026-05-25T02:39:57
NPS-0000091,CUST-00048,9,Promoter,Best tool we've used. Highly recommend.,2026-06-18T07:50:36,2026-06-18T07:50:36
NPS-0000092,CUST-00048,9,Promoter,Incredible support team. Very responsive.,2026-05-16T00:41:30,2026-05-16T00:41:30
NPS-0000093,CUST-00049,8,Passive,Decent value for money.,2026-06-19T21:10:48,2026-06-19T21:10:48
NPS-0000094,CUST-00049,2,Detractor,Data sync issues are frustrating.,2026-04-23T17:52:15,2026-04-23T17:52:15
NPS-0000095,CUST-00049,4,Detractor,Support takes too long to respond.,2026-05-27T04:50:50,2026-05-27T04:50:50
NPS-0000096,CUST-00050,5,Detractor,Data sync issues are frustrating.,2026-05-10T14:54:16,2026-05-10T14:54:16
NPS-0000097,CUST-00050,6,Detractor,Considering switching to a competitor.,2026-04-15T23:59:15,2026-04-15T23:59:15
NPS-0000098,CUST-00051,8,Passive,Support could be faster.,2026-05-08T00:59:59,2026-05-08T00:59:59
NPS-0000099,CUST-00051,7,Passive,Decent value for money.,2026-04-13T06:21:27,2026-04-13T06:21:27
NPS-0000100,CUST-00052,5,Detractor,Data sync issues are frustrating.,2026-05-04T04:36:16,2026-05-04T04:36:16
NPS-0000101,CUST-00052,6,Detractor,Considering switching to a competitor.,2026-05-28T23:52:36,2026-05-28T23:52:36
NPS-0000102,CUST-00053,7,Passive,Support could be faster.,2026-04-08T08:32:59,2026-04-08T08:32:59
NPS-0000103,CUST-00054,7,Passive,Works well most of the time.,2026-05-20T19:46:22,2026-05-20T19:46:22
NPS-0000104,CUST-00054,6,Detractor,Too many bugs lately.,2026-06-29T11:45:03,2026-06-29T11:45:03
NPS-0000105,CUST-00055,9,Promoter,Game changer for our analytics workflow.,2026-05-23T13:40:29,2026-05-23T13:40:29
NPS-0000106,CUST-00055,7,Passive,Getting better with each update.,2026-04-23T16:43:51,2026-04-23T16:43:51
NPS-0000107,CUST-00056,8,Passive,Good product but missing some features.,2026-06-06T21:48:38,2026-06-06T21:48:38
NPS-0000108,CUST-00056,7,Passive,Good product but missing some features.,2026-04-07T10:05:25,2026-04-07T10:05:25
NPS-0000109,CUST-00057,1,Detractor,Had major outages last month.,2026-04-17T21:06:48,2026-04-17T21:06:48
NPS-0000110,CUST-00058,10,Promoter,Saves us hours every week. Worth every penny.,2026-04-29T18:42:12,2026-04-29T18:42:12
NPS-0000111,CUST-00059,9,Promoter,Incredible support team. Very responsive.,2026-06-03T00:41:04,2026-06-03T00:41:04
NPS-0000112,CUST-00060,6,Detractor,Data sync issues are frustrating.,2026-05-26T10:51:37,2026-05-26T10:51:37
NPS-0000113,CUST-00060,2,Detractor,Too many bugs lately.,2026-06-16T11:37:28,2026-06-16T11:37:28
NPS-0000114,CUST-00061,7,Passive,Good product but missing some features.,2026-06-28T10:43:09,2026-06-28T10:43:09
NPS-0000115,CUST-00061,8,Passive,Getting better with each update.,2026-05-16T05:32:42,2026-05-16T05:32:42
NPS-0000116,CUST-00062,8,Passive,Support could be faster.,2026-06-10T06:14:24,2026-06-10T06:14:24
NPS-0000117,CUST-00062,8,Passive,Good product but missing some features.,2026-05-14T06:15:14,2026-05-14T06:15:14
NPS-0000118,CUST-00062,7,Passive,Decent value for money.,2026-04-23T11:50:13,2026-04-23T11:50:13
NPS-0000119,CUST-00063,4,Detractor,Support takes too long to respond.,2026-06-13T09:03:23,2026-06-13T09:03:23
NPS-0000120,CUST-00063,1,Detractor,Too many bugs lately.,2026-06-29T07:51:18,2026-06-29T07:51:18
NPS-0000121,CUST-00063,4,Detractor,Had major outages last month.,2026-06-02T07:30:30,2026-06-02T07:30:30
NPS-0000122,CUST-00064,6,Detractor,Support takes too long to respond.,2026-05-12T18:37:45,2026-05-12T18:37:45
NPS-0000123,CUST-00064,10,Promoter,Saves us hours every week. Worth every penny.,2026-06-08T09:10:52,2026-06-08T09:10:52
NPS-0000124,CUST-00065,8,Passive,Good product but missing some features.,2026-06-16T06:12:47,2026-06-16T06:12:47
NPS-0000125,CUST-00066,9,Promoter,Best tool we've used. Highly recommend.,2026-05-15T09:10:55,2026-05-15T09:10:55
NPS-0000126,CUST-00066,4,Detractor,Data sync issues are frustrating.,2026-05-17T05:17:18,2026-05-17T05:17:18
NPS-0000127,CUST-00066,6,Detractor,Considering switching to a competitor.,2026-04-17T07:12:40,2026-04-17T07:12:40
NPS-0000128,CUST-00067,9,Promoter,Saves us hours every week. Worth every penny.,2026-06-25T05:40:18,2026-06-25T05:40:18
NPS-0000129,CUST-00067,3,Detractor,Data sync issues are frustrating.,2026-06-12T13:52:56,2026-06-12T13:52:56
NPS-0000130,CUST-00068,5,Detractor,Had major outages last month.,2026-04-25T15:40:48,2026-04-25T15:40:48
NPS-0000131,CUST-00069,8,Passive,Decent value for money.,2026-04-29T10:59:07,2026-04-29T10:59:07
NPS-0000132,CUST-00070,0,Detractor,Support takes too long to respond.,2026-04-19T04:27:32,2026-04-19T04:27:32
NPS-0000133,CUST-00070,4,Detractor,Data sync issues are frustrating.,2026-06-01T07:15:24,2026-06-01T07:15:24
NPS-0000134,CUST-00070,3,Detractor,Had major outages last month.,2026-04-30T07:08:25,2026-04-30T07:08:25
NPS-0000135,CUST-00071,5,Detractor,Had major outages last month.,2026-04-19T19:06:03,2026-04-19T19:06:03
NPS-0000136,CUST-00071,8,Passive,Getting better with each update.,2026-05-31T17:59:38,2026-05-31T17:59:38
NPS-0000137,CUST-00072,8,Passive,Good product but missing some features.,2026-06-25T09:06:16,2026-06-25T09:06:16
NPS-0000138,CUST-00073,10,Promoter,Game changer for our analytics workflow.,2026-05-03T21:06:11,2026-05-03T21:06:11
NPS-0000139,CUST-00074,7,Passive,Good product but missing some features.,2026-06-23T02:32:47,2026-06-23T02:32:47
NPS-0000140,CUST-00074,10,Promoter,Saves us hours every week. Worth every penny.,2026-04-30T03:50:27,2026-04-30T03:50:27
NPS-0000141,CUST-00074,8,Passive,Getting better with each update.,2026-05-31T01:36:57,2026-05-31T01:36:57
NPS-0000142,CUST-00075,7,Passive,Getting better with each update.,2026-06-26T16:18:53,2026-06-26T16:18:53
NPS-0000143,CUST-00076,9,Promoter,Best tool we've used. Highly recommend.,2026-05-15T12:19:55,2026-05-15T12:19:55
NPS-0000144,CUST-00077,2,Detractor,Had major outages last month.,2026-05-20T23:52:30,2026-05-20T23:52:30
NPS-0000145,CUST-00078,6,Detractor,Data sync issues are frustrating.,2026-05-18T17:09:07,2026-05-18T17:09:07
NPS-0000146,CUST-00078,6,Detractor,Too many bugs lately.,2026-04-16T14:45:35,2026-04-16T14:45:35
NPS-0000147,CUST-00079,8,Passive,Getting better with each update.,2026-05-29T05:15:43,2026-05-29T05:15:43
NPS-0000148,CUST-00080,0,Detractor,Too many bugs lately.,2026-06-23T19:02:52,2026-06-23T19:02:52
NPS-0000149,CUST-00081,6,Detractor,Data sync issues are frustrating.,2026-05-07T03:49:31,2026-05-07T03:49:31
NPS-0000150,CUST-00081,6,Detractor,Too expensive for what it offers.,2026-05-05T18:03:52,2026-05-05T18:03:52
NPS-0000151,CUST-00081,6,Detractor,Had major outages last month.,2026-05-16T21:13:04,2026-05-16T21:13:04
NPS-0000152,CUST-00082,9,Promoter,Incredible support team. Very responsive.,2026-04-11T07:49:40,2026-04-11T07:49:40
NPS-0000153,CUST-00082,8,Passive,Support could be faster.,2026-05-03T09:20:14,2026-05-03T09:20:14
NPS-0000154,CUST-00082,8,Passive,Decent value for money.,2026-06-27T09:15:00,2026-06-27T09:15:00
NPS-0000155,CUST-00083,4,Detractor,Too many bugs lately.,2026-05-10T01:03:07,2026-05-10T01:03:07
NPS-0000156,CUST-00083,8,Passive,Support could be faster.,2026-06-12T16:38:54,2026-06-12T16:38:54
NPS-0000157,CUST-00084,9,Promoter,Incredible support team. Very responsive.,2026-06-08T15:31:42,2026-06-08T15:31:42
NPS-0000158,CUST-00084,10,Promoter,Best tool we've used. Highly recommend.,2026-06-22T06:41:50,2026-06-22T06:41:50
NPS-0000159,CUST-00085,6,Detractor,Considering switching to a competitor.,2026-04-30T11:01:42,2026-04-30T11:01:42
NPS-0000160,CUST-00086,8,Passive,Good product but missing some features.,2026-04-22T05:55:54,2026-04-22T05:55:54
NPS-0000161,CUST-00086,9,Promoter,Best tool we've used. Highly recommend.,2026-06-26T10:42:08,2026-06-26T10:42:08
NPS-0000162,CUST-00087,6,Detractor,Data sync issues are frustrating.,2026-05-20T23:01:31,2026-05-20T23:01:31
NPS-0000163,CUST-00087,10,Promoter,Game changer for our analytics workflow.,2026-06-23T17:58:28,2026-06-23T17:58:28
NPS-0000164,CUST-00088,10,Promoter,Love the product! Changed how we work.,2026-06-05T06:46:35,2026-06-05T06:46:35
NPS-0000165,CUST-00089,5,Detractor,Had major outages last month.,2026-06-02T11:45:43,2026-06-02T11:45:43
NPS-0000166,CUST-00089,4,Detractor,Too expensive for what it offers.,2026-04-04T18:59:28,2026-04-04T18:59:28
NPS-0000167,CUST-00089,1,Detractor,Considering switching to a competitor.,2026-06-20T16:16:07,2026-06-20T16:16:07
NPS-0000168,CUST-00090,9,Promoter,Incredible support team. Very responsive.,2026-04-15T19:53:14,2026-04-15T19:53:14
NPS-0000169,CUST-00090,1,Detractor,Data sync issues are frustrating.,2026-05-30T04:03:21,2026-05-30T04:03:21
NPS-0000170,CUST-00091,5,Detractor,Considering switching to a competitor.,2026-06-28T12:42:48,2026-06-28T12:42:48
NPS-0000171,CUST-00092,9,Promoter,Incredible support team. Very responsive.,2026-05-26T02:07:16,2026-05-26T02:07:16
NPS-0000172,CUST-00092,8,Passive,Decent value for money.,2026-04-05T03:59:47,2026-04-05T03:59:47
NPS-0000173,CUST-00093,6,Detractor,Had major outages last month.,2026-06-13T16:27:11,2026-06-13T16:27:11
NPS-0000174,CUST-00094,10,Promoter,Love the product! Changed how we work.,2026-06-17T21:04:24,2026-06-17T21:04:24
NPS-0000175,CUST-00095,9,Promoter,Best tool we've used. Highly recommend.,2026-04-22T14:18:23,2026-04-22T14:18:23
NPS-0000176,CUST-00096,3,Detractor,Considering switching to a competitor.,2026-04-26T20:24:20,2026-04-26T20:24:20
NPS-0000177,CUST-00097,10,Promoter,Incredible support team. Very responsive.,2026-05-22T10:56:30,2026-05-22T10:56:30
NPS-0000178,CUST-00098,9,Promoter,Love the product! Changed how we work.,2026-06-02T11:01:37,2026-06-02T11:01:37
NPS-0000179,CUST-00098,10,Promoter,Best tool we've used. Highly recommend.,2026-04-02T10:29:22,2026-04-02T10:29:22
NPS-0000180,CUST-00099,10,Promoter,Game changer for our analytics workflow.,2026-06-01T19:43:32,2026-06-01T19:43:32
NPS-0000181,CUST-00099,5,Detractor,Too expensive for what it offers.,2026-04-29T10:25:50,2026-04-29T10:25:50
NPS-0000182,CUST-00099,5,Detractor,Support takes too long to respond.,2026-04-12T18:52:53,2026-04-12T18:52:53
NPS-0000183,CUST-00100,9,Promoter,Game changer for our analytics workflow.,2026-04-29T01:32:07,2026-04-29T01:32:07
NPS-0000184,CUST-00100,10,Promoter,Game changer for our analytics workflow.,2026-05-16T08:02:47,2026-05-16T08:02:47
NPS-0000185,CUST-00100,1,Detractor,Too expensive for what it offers.,2026-05-27T01:01:20,2026-05-27T01:01:20
NPS-0000186,CUST-00101,4,Detractor,Had major outages last month.,2026-06-23T12:22:14,2026-06-23T12:22:14
NPS-0000187,CUST-00102,8,Passive,Works well most of the time.,2026-05-11T06:33:16,2026-05-11T06:33:16
NPS-0000188,CUST-00103,8,Passive,Good product but missing some features.,2026-04-05T12:35:36,2026-04-05T12:35:36
NPS-0000189,CUST-00103,8,Passive,Works well most of the time.,2026-05-31T10:34:59,2026-05-31T10:34:59
NPS-0000190,CUST-00104,0,Detractor,Data sync issues are frustrating.,2026-04-03T14:00:18,2026-04-03T14:00:18
NPS-0000191,CUST-00105,5,Detractor,Considering switching to a competitor.,2026-06-09T14:48:33,2026-06-09T14:48:33
NPS-0000192,CUST-00105,10,Promoter,Incredible support team. Very responsive.,2026-04-05T10:54:11,2026-04-05T10:54:11
NPS-0000193,CUST-00106,7,Passive,Works well most of the time.,2026-05-25T17:25:45,2026-05-25T17:25:45
NPS-0000194,CUST-00107,5,Detractor,Data sync issues are frustrating.,2026-04-28T11:42:54,2026-04-28T11:42:54
NPS-0000195,CUST-00107,2,Detractor,Considering switching to a competitor.,2026-04-01T12:52:04,2026-04-01T12:52:04
NPS-0000196,CUST-00108,10,Promoter,Saves us hours every week. Worth every penny.,2026-05-29T00:09:00,2026-05-29T00:09:00
NPS-0000197,CUST-00109,5,Detractor,Data sync issues are frustrating.,2026-04-07T00:07:49,2026-04-07T00:07:49
NPS-0000198,CUST-00110,8,Passive,Decent value for money.,2026-05-11T06:59:38,2026-05-11T06:59:38
NPS-0000199,CUST-00110,9,Promoter,Love the product! Changed how we work.,2026-06-07T11:33:40,2026-06-07T11:33:40
NPS-0000200,CUST-00110,9,Promoter,Game changer for our analytics workflow.,2026-05-05T00:26:00,2026-05-05T00:26:00
NPS-0000201,CUST-00111,10,Promoter,Game changer for our analytics workflow.,2026-05-17T12:04:32,2026-05-17T12:04:32
NPS-0000202,CUST-00111,9,Promoter,Saves us hours every week. Worth every penny.,2026-04-22T18:10:28,2026-04-22T18:10:28
NPS-0000203,CUST-00111,7,Passive,Decent value for money.,2026-05-17T00:18:55,2026-05-17T00:18:55
NPS-0000204,CUST-00112,10,Promoter,Love the product! Changed how we work.,2026-05-10T22:15:16,2026-05-10T22:15:16
NPS-0000205,CUST-00112,7,Passive,Works well most of the time.,2026-04-12T23:44:13,2026-04-12T23:44:13
NPS-0000206,CUST-00112,3,Detractor,Considering switching to a competitor.,2026-04-28T13:49:12,2026-04-28T13:49:12
NPS-0000207,CUST-00113,7,Passive,Works well most of the time.,2026-06-24T22:56:37,2026-06-24T22:56:37
NPS-0000208,CUST-00113,8,Passive,Support could be faster.,2026-04-16T21:45:15,2026-04-16T21:45:15
NPS-0000209,CUST-00113,6,Detractor,Too many bugs lately.,2026-05-09T23:41:36,2026-05-09T23:41:36
NPS-0000210,CUST-00114,8,Passive,Decent value for money.,2026-05-07T16:45:39,2026-05-07T16:45:39
NPS-0000211,CUST-00114,9,Promoter,Incredible support team. Very responsive.,2026-06-07T01:07:28,2026-06-07T01:07:28
NPS-0000212,CUST-00115,7,Passive,Getting better with each update.,2026-06-15T06:27:01,2026-06-15T06:27:01
NPS-0000213,CUST-00115,9,Promoter,Saves us hours every week. Worth every penny.,2026-06-06T23:36:25,2026-06-06T23:36:25
NPS-0000214,CUST-00116,4,Detractor,Had major outages last month.,2026-06-20T12:28:26,2026-06-20T12:28:26
NPS-0000215,CUST-00116,1,Detractor,Considering switching to a competitor.,2026-04-14T01:18:48,2026-04-14T01:18:48
NPS-0000216,CUST-00117,0,Detractor,Too many bugs lately.,2026-04-12T20:06:57,2026-04-12T20:06:57
NPS-0000217,CUST-00117,10,Promoter,Game changer for our analytics workflow.,2026-05-06T03:32:05,2026-05-06T03:32:05
NPS-0000218,CUST-00118,6,Detractor,Too expensive for what it offers.,2026-04-26T00:34:19,2026-04-26T00:34:19
NPS-0000219,CUST-00119,1,Detractor,Support takes too long to respond.,2026-05-28T06:39:17,2026-05-28T06:39:17
NPS-0000220,CUST-00120,2,Detractor,Had major outages last month.,2026-04-15T13:07:30,2026-04-15T13:07:30
NPS-0000221,CUST-00121,10,Promoter,Incredible support team. Very responsive.,2026-06-29T05:08:55,2026-06-29T05:08:55
NPS-0000222,CUST-00121,9,Promoter,Love the product! Changed how we work.,2026-04-03T19:47:17,2026-04-03T19:47:17
NPS-0000223,CUST-00121,8,Passive,Support could be faster.,2026-04-22T01:19:33,2026-04-22T01:19:33
NPS-0000224,CUST-00122,6,Detractor,Too many bugs lately.,2026-05-10T16:10:36,2026-05-10T16:10:36
NPS-0000225,CUST-00122,8,Passive,Decent value for money.,2026-06-15T12:42:18,2026-06-15T12:42:18
NPS-0000226,CUST-00123,10,Promoter,Game changer for our analytics workflow.,2026-05-28T19:55:39,2026-05-28T19:55:39
NPS-0000227,CUST-00123,5,Detractor,Had major outages last month.,2026-04-23T00:52:20,2026-04-23T00:52:20
NPS-0000228,CUST-00123,10,Promoter,Game changer for our analytics workflow.,2026-04-05T18:23:15,2026-04-05T18:23:15
NPS-0000229,CUST-00124,4,Detractor,Too expensive for what it offers.,2026-05-28T10:13:41,2026-05-28T10:13:41
NPS-0000230,CUST-00124,10,Promoter,Love the product! Changed how we work.,2026-06-13T10:48:12,2026-06-13T10:48:12
NPS-0000231,CUST-00124,9,Promoter,Incredible support team. Very responsive.,2026-04-08T19:44:06,2026-04-08T19:44:06
NPS-0000232,CUST-00125,2,Detractor,Support takes too long to respond.,2026-06-09T07:26:23,2026-06-09T07:26:23
NPS-0000233,CUST-00126,7,Passive,Getting better with each update.,2026-04-26T16:15:23,2026-04-26T16:15:23
NPS-0000234,CUST-00127,9,Promoter,Best tool we've used. Highly recommend.,2026-06-29T05:24:16,2026-06-29T05:24:16
