payment_id,invoice_id,customer_id,amount_paid,currency,method,status,paid_at,created_at
PAY-00000019,INV-00000021,CUST-00002,76.37,USD,credit_card,success,2025-01-09T00:00:00,2025-01-09T00:00:00
PAY-00000020,INV-00000022,CUST-00002,76.37,USD,bank_transfer,success,2025-02-11T00:00:00,2025-02-11T00:00:00
PAY-00000021,INV-00000023,CUST-00002,76.37,USD,paypal,success,2025-03-20T00:00:00,2025-03-20T00:00:00
PAY-00000022,INV-00000024,CUST-00002,76.37,USD,credit_card,success,2025-04-13T00:00:00,2025-04-13T00:00:00
PAY-00000023,INV-00000025,CUST-00002,76.37,USD,stripe,success,2025-05-11T00:00:00,2025-05-11T00:00:00
PAY-00000024,INV-00000026,CUST-00002,76.37,USD,stripe,success,2025-06-11T00:00:00,2025-06-11T00:00:00
PAY-00000025,INV-00000027,CUST-00002,76.37,USD,bank_transfer,success,2025-07-11T00:00:00,2025-07-11T00:00:00
PAY-00000026,INV-00000028,CUST-00002,76.37,USD,bank_transfer,success,2025-08-03T00:00:00,2025-08-03T00:00:00
PAY-00000027,INV-00000029,CUST-00002,76.37,USD,stripe,success,2025-09-07T00:00:00,2025-09-07T00:00:00
PAY-00000028,INV-00000030,CUST-00002,76.37,USD,stripe,success,2025-10-10T00:00:00,2025-10-10T00:00:00
PAY-00000029,INV-00000031,CUST-00002,76.37,USD,bank_transfer,success,2025-11-13T00:00:00,2025-11-13T00:00:00
PAY-00000030,INV-00000032,CUST-00002,76.37,USD,paypal,success,2025-12-15T00:00:00,2025-12-15T00:00:00
PAY-00000031,INV-00000033,CUST-00002,76.37,USD,bank_transfer,success,2026-01-11T00:00:00,2026-01-11T00:00:00
PAY-00000032,INV-00000034,CUST-00002,76.37,USD,credit_card,success,2026-02-14T00:00:00,2026-02-14T00:00:00
PAY-00000033,INV-00000036,CUST-00002,76.37,USD,credit_card,success,2026-04-14T00:00:00,2026-04-14T00:00:00
PAY-00000034,INV-00000038,CUST-00002,76.37,USD,stripe,success,2026-06-10T00:00:00,2026-06-10T00:00:00
PAY-00000035,INV-00000039,CUST-00003,0.0,USD,credit_card,failed,,2024-03-03T00:00:00
PAY-00000036,INV-00000040,CUST-00003,2253.26,USD,bank_transfer,success,2024-04-16T00:00:00,2024-04-16T00:00:00
PAY-00000037,INV-00000041,CUST-00003,2253.26,USD,credit_card,success,2024-05-15T00:00:00,2024-05-15T00:00:00
PAY-00000038,INV-00000042,CUST-00003,2253.26,USD,credit_card,success,2024-06-05T00:00:00,2024-06-05T00:00:00
PAY-00000039,INV-00000043,CUST-00003,2253.26,USD,paypal,success,2024-07-16T00:00:00,2024-07-16T00:00:00
PAY-00000040,INV-00000044,CUST-00003,2253.26,USD,bank_transfer,success,2024-08-01T00:00:00,2024-08-01T00:00:00
PAY-00000041,INV-00000045,CUST-00003,2253.26,USD,credit_card,success,2024-09-02T00:00:00,2024-09-02T00:00:00
PAY-00000042,INV-00000046,CUST-00003,2253.26,USD,bank_transfer,success,2024-10-02T00:00:00,2024-10-02T00:00:00
PAY-00000043,INV-00000047,CUST-00003,2253.26,USD,credit_card,success,2024-11-13T00:00:00,2024-11-13T00:00:00
PAY-00000044,INV-00000048,CUST-00003,2253.26,USD,paypal,success,2024-12-13T00:00:00,2024-12-13T00:00:00
PAY-00000045,INV-00000049,CUST-00003,2253.26,USD,stripe,success,2025-01-04T00:00:00,2025-01-04T00:00:00
PAY-00000046,INV-00000050,CUST-00003,2253.26,USD,paypal,success,2025-01-28T00:00:00,2025-01-28T00:00:00
PAY-00000047,INV-00000051,CUST-00003,2253.26,USD,bank_transfer,success,2025-03-03T00:00:00,2025-03-03T00:00:00
PAY-00000048,INV-00000052,CUST-00003,0.0,USD,stripe,failed,,2025-03-29T00:00:00
PAY-00000049,INV-00000053,CUST-00003,0.0,USD,bank_transfer,failed,,2025-04-30T00:00:00
PAY-00000050,INV-00000054,CUST-00003,2253.26,USD,credit_card,success,2025-06-04T00:00:00,2025-06-04T00:00:00
PAY-00000051,INV-00000055,CUST-00003,2253.26,USD,stripe,success,2025-07-04T00:00:00,2025-07-04T00:00:00
PAY-00000052,INV-00000056,CUST-00003,2253.26,USD,credit_card,success,2025-07-29T00:00:00,2025-07-29T00:00:00
PAY-00000053,INV-00000057,CUST-00003,0.0,USD,paypal,failed,,2025-08-28T00:00:00
PAY-00000054,INV-00000058,CUST-00003,2253.26,USD,credit_card,success,2025-10-01T00:00:00,2025-10-01T00:00:00
PAY-00000055,INV-00000059,CUST-00003,2253.26,USD,paypal,success,2025-10-29T00:00:00,2025-10-29T00:00:00
PAY-00000056,INV-00000060,CUST-00003,2253.26,USD,stripe,success,2025-11-29T00:00:00,2025-11-29T00:00:00
PAY-00000057,INV-00000061,CUST-00003,0.0,USD,paypal,failed,,2025-12-27T00:00:00
PAY-00000058,INV-00000062,CUST-00003,2253.26,USD,credit_card,success,2026-01-30T00:00:00,2026-01-30T00:00:00
PAY-00000059,INV-00000063,CUST-00003,2253.26,USD,stripe,success,2026-03-08T00:00:00,2026-03-08T00:00:00
PAY-00000060,INV-00000064,CUST-00003,2253.26,USD,stripe,success,2026-03-28T00:00:00,2026-03-28T00:00:00
PAY-00000061,INV-00000065,CUST-00003,2253.26,USD,stripe,success,2026-05-07T00:00:00,2026-05-07T00:00:00
PAY-00000062,INV-00000066,CUST-00003,0.0,USD,stripe,failed,,2026-05-23T00:00:00
PAY-00000063,INV-00000067,CUST-00004,68.29,USD,credit_card,success,2025-06-25T00:00:00,2025-06-25T00:00:00
PAY-00000064,INV-00000068,CUST-00004,68.29,USD,paypal,success,2025-07-13T00:00:00,2025-07-13T00:00:00
PAY-00000065,INV-00000069,CUST-00004,68.29,USD,stripe,success,2025-08-19T00:00:00,2025-08-19T00:00:00
PAY-00000066,INV-00000071,CUST-00004,68.29,USD,credit_card,success,2025-10-10T00:00:00,2025-10-10T00:00:00
PAY-00000067,INV-00000073,CUST-00004,68.29,USD,stripe,success,2025-12-12T00:00:00,2025-12-12T00:00:00
PAY-00000068,INV-00000074,CUST-00004,68.29,USD,credit_card,success,2026-01-08T00:00:00,2026-01-08T00:00:00
PAY-00000069,INV-00000075,CUST-00004,68.29,USD,paypal,success,2026-02-21T00:00:00,2026-02-21T00:00:00
PAY-00000070,INV-00000076,CUST-00004,68.29,USD,credit_card,success,2026-03-10T00:00:00,2026-03-10T00:00:00
PAY-00000071,INV-00000077,CUST-00004,68.29,USD,paypal,success,2026-04-21T00:00:00,2026-04-21T00:00:00
PAY-00000072,INV-00000078,CUST-00004,68.29,USD,bank_transfer,success,2026-05-22T00:00:00,2026-05-22T00:00:00
PAY-00000073,INV-00000079,CUST-00005,278.68,USD,bank_transfer,success,2023-11-02T00:00:00,2023-11-02T00:00:00
PAY-00000074,INV-00000080,CUST-00005,278.68,USD,paypal,success,2023-12-07T00:00:00,2023-12-07T00:00:00
PAY-00000075,INV-00000081,CUST-00005,278.68,USD,credit_card,success,2024-01-02T00:00:00,2024-01-02T00:00:00
PAY-00000076,INV-00000082,CUST-00005,278.68,USD,paypal,success,2024-01-31T00:00:00,2024-01-31T00:00:00
PAY-00000077,INV-00000083,CUST-00005,278.68,USD,paypal,success,2024-02-29T00:00:00,2024-02-29T00:00:00
PAY-00000078,INV-00000085,CUST-00005,278.68,USD,stripe,success,2024-05-04T00:00:00,2024-05-04T00:00:00
PAY-00000079,INV-00000086,CUST-00005,278.68,USD,credit_card,success,2024-05-27T00:00:00,2024-05-27T00:00:00
PAY-00000080,INV-00000087,CUST-00005,278.68,USD,bank_transfer,success,2024-07-10T00:00:00,2024-07-10T00:00:00
PAY-00000081,INV-00000088,CUST-00005,278.68,USD,stripe,success,2024-08-02T00:00:00,2024-08-02T00:00:00
PAY-00000082,INV-00000089,CUST-00005,0.0,USD,credit_card,failed,,2024-08-25T00:00:00
PAY-00000083,INV-00000091,CUST-00005,0.0,USD,stripe,failed,,2024-10-26T00:00:00
PAY-00000084,INV-00000092,CUST-00005,278.68,USD,paypal,success,2024-12-06T00:00:00,2024-12-06T00:00:00
PAY-00000085,INV-00000093,CUST-00005,0.0,USD,bank_transfer,failed,,2024-12-26T00:00:00
PAY-00000086,INV-00000094,CUST-00005,278.68,USD,stripe,success,2025-02-02T00:00:00,2025-02-02T00:00:00
PAY-00000087,INV-00000095,CUST-00005,278.68,USD,credit_card,success,2025-02-22T00:00:00,2025-02-22T00:00:00
PAY-00000088,INV-00000096,CUST-00005,278.68,USD,stripe,success,2025-03-27T00:00:00,2025-03-27T00:00:00
PAY-00000089,INV-00000097,CUST-00005,278.68,USD,credit_card,success,2025-04-27T00:00:00,2025-04-27T00:00:00
PAY-00000090,INV-00000098,CUST-00005,278.68,USD,credit_card,success,2025-05-29T00:00:00,2025-05-29T00:00:00
PAY-00000091,INV-00000099,CUST-00005,278.68,USD,bank_transfer,success,2025-07-06T00:00:00,2025-07-06T00:00:00
PAY-00000092,INV-00000100,CUST-00005,278.68,USD,bank_transfer,success,2025-07-29T00:00:00,2025-07-29T00:00:00
PAY-00000093,INV-00000101,CUST-00005,278.68,USD,paypal,success,2025-08-24T00:00:00,2025-08-24T00:00:00
PAY-00000094,INV-00000102,CUST-00005,278.68,USD,credit_card,success,2025-09-24T00:00:00,2025-09-24T00:00:00
PAY-00000095,INV-00000103,CUST-00005,278.68,USD,credit_card,success,2025-10-30T00:00:00,2025-10-30T00:00:00
PAY-00000096,INV-00000104,CUST-00005,278.68,USD,credit_card,success,2025-11-18T00:00:00,2025-11-18T00:00:00
PAY-00000097,INV-00000105,CUST-00005,278.68,USD,credit_card,success,2025-12-20T00:00:00,2025-12-20T00:00:00
PAY-00000098,INV-00000106,CUST-00005,278.68,USD,paypal,success,2026-01-28T00:00:00,2026-01-28T00:00:00
PAY-00000099,INV-00000107,CUST-00005,278.68,USD,bank_transfer,success,2026-02-21T00:00:00,2026-02-21T00:00:00
PAY-00000100,INV-00000109,CUST-00005,278.68,USD,credit_card,success,2026-04-30T00:00:00,2026-04-30T00:00:00
PAY-00000101,INV-00000110,CUST-00005,278.68,USD,stripe,success,2026-05-29T00:00:00,2026-05-29T00:00:00
PAY-00000102,INV-00000111,CUST-00006,4721.0,USD,credit_card,success,2026-02-14T00:00:00,2026-02-14T00:00:00
PAY-00000103,INV-00000112,CUST-00006,4721.0,USD,stripe,success,2026-03-11T00:00:00,2026-03-11T00:00:00
PAY-00000104,INV-00000113,CUST-00006,4721.0,USD,credit_card,success,2026-04-13T00:00:00,2026-04-13T00:00:00
PAY-00000105,INV-00000114,CUST-00006,4721.0,USD,stripe,success,2026-05-11T00:00:00,2026-05-11T00:00:00
PAY-00000106,INV-00000115,CUST-00006,0.0,USD,paypal,failed,,2026-06-03T00:00:00
PAY-00000107,INV-00000116,CUST-00007,55.59,USD,paypal,success,2024-06-28T00:00:00,2024-06-28T00:00:00
PAY-00000108,INV-00000117,CUST-00007,55.59,USD,paypal,success,2024-07-24T00:00:00,2024-07-24T00:00:00
PAY-00000109,INV-00000119,CUST-00007,55.59,USD,credit_card,success,2024-09-19T00:00:00,2024-09-19T00:00:00
PAY-00000110,INV-00000120,CUST-00007,55.59,USD,credit_card,success,2024-10-21T00:00:00,2024-10-21T00:00:00
PAY-00000111,INV-00000121,CUST-00007,55.59,USD,paypal,success,2024-11-20T00:00:00,2024-11-20T00:00:00
PAY-00000112,INV-00000122,CUST-00007,55.59,USD,bank_transfer,success,2024-12-15T00:00:00,2024-12-15T00:00:00
PAY-00000113,INV-00000123,CUST-00007,55.59,USD,bank_transfer,success,2025-01-25T00:00:00,2025-01-25T00:00:00
PAY-00000114,INV-00000124,CUST-00007,55.59,USD,bank_transfer,success,2025-02-24T00:00:00,2025-02-24T00:00:00
PAY-00000115,INV-00000125,CUST-00007,55.59,USD,credit_card,success,2025-03-15T00:00:00,2025-03-15T00:00:00
PAY-00000116,INV-00000126,CUST-00007,55.59,USD,bank_transfer,success,2025-04-15T00:00:00,2025-04-15T00:00:00
PAY-00000117,INV-00000127,CUST-00007,55.59,USD,stripe,success,2025-05-19T00:00:00,2025-05-19T00:00:00
PAY-00000118,INV-00000128,CUST-00007,55.59,USD,credit_card,success,2025-06-24T00:00:00,2025-06-24T00:00:00
PAY-00000119,INV-00000129,CUST-00007,55.59,USD,stripe,success,2025-07-21T00:00:00,2025-07-21T00:00:00
PAY-00000120,INV-00000130,CUST-00007,55.59,USD,credit_card,success,2025-08-24T00:00:00,2025-08-24T00:00:00
PAY-00000121,INV-00000131,CUST-00007,55.59,USD,paypal,success,2025-09-15T00:00:00,2025-09-15T00:00:00
PAY-00000122,INV-00000132,CUST-00007,55.59,USD,bank_transfer,success,2025-10-13T00:00:00,2025-10-13T00:00:00
PAY-00000123,INV-00000133,CUST-00007,55.59,USD,bank_transfer,success,2025-11-18T00:00:00,2025-11-18T00:00:00
PAY-00000124,INV-00000135,CUST-00007,0.0,USD,credit_card,failed,,2026-01-13T00:00:00
PAY-00000125,INV-00000136,CUST-00007,55.59,USD,bank_transfer,success,2026-02-23T00:00:00,2026-02-23T00:00:00
PAY-00000126,INV-00000137,CUST-00007,55.59,USD,bank_transfer,success,2026-03-22T00:00:00,2026-03-22T00:00:00
PAY-00000127,INV-00000138,CUST-00007,55.59,USD,paypal,success,2026-04-11T00:00:00,2026-04-11T00:00:00
PAY-00000128,INV-00000139,CUST-00007,55.59,USD,bank_transfer,success,2026-05-16T00:00:00,2026-05-16T00:00:00
PAY-00000129,INV-00000140,CUST-00008,1709.69,USD,credit_card,success,2024-02-18T00:00:00,2024-02-18T00:00:00
PAY-00000130,INV-00000141,CUST-00008,1709.69,USD,credit_card,success,2024-03-18T00:00:00,2024-03-18T00:00:00
PAY-00000131,INV-00000142,CUST-00008,1709.69,USD,paypal,success,2024-04-17T00:00:00,2024-04-17T00:00:00
PAY-00000132,INV-00000143,CUST-00008,1709.69,USD,credit_card,success,2024-05-05T00:00:00,2024-05-05T00:00:00
PAY-00000133,INV-00000144,CUST-00008,1709.69,USD,stripe,success,2024-06-05T00:00:00,2024-06-05T00:00:00
PAY-00000134,INV-00000145,CUST-00008,1709.69,USD,bank_transfer,success,2024-07-09T00:00:00,2024-07-09T00:00:00
PAY-00000135,INV-00000146,CUST-00008,1709.69,USD,stripe,success,2024-08-13T00:00:00,2024-08-13T00:00:00
PAY-00000136,INV-00000147,CUST-00008,1709.69,USD,stripe,success,2024-09-14T00:00:00,2024-09-14T00:00:00
PAY-00000137,INV-00000149,CUST-00008,1709.69,USD,paypal,success,2024-11-15T00:00:00,2024-11-15T00:00:00
PAY-00000138,INV-00000150,CUST-00008,1709.69,USD,credit_card,success,2024-12-05T00:00:00,2024-12-05T00:00:00
PAY-00000139,INV-00000151,CUST-00008,1709.69,USD,credit_card,success,2025-01-08T00:00:00,2025-01-08T00:00:00
PAY-00000140,INV-00000152,CUST-00008,1709.69,USD,bank_transfer,success,2025-02-09T00:00:00,2025-02-09T00:00:00
PAY-00000141,INV-00000153,CUST-00008,1709.69,USD,credit_card,success,2025-03-12T00:00:00,2025-03-12T00:00:00
PAY-00000142,INV-00000154,CUST-00008,1709.69,USD,bank_transfer,success,2025-04-10T00:00:00,2025-04-10T00:00:00
PAY-00000143,INV-00000157,CUST-00008,1709.69,USD,stripe,success,2025-07-04T00:00:00,2025-07-04T00:00:00
PAY-00000144,INV-00000158,CUST-00008,1709.69,USD,paypal,success,2025-08-04T00:00:00,2025-08-04T00:00:00
PAY-00000145,INV-00000159,CUST-00008,1709.69,USD,bank_transfer,success,2025-09-10T00:00:00,2025-09-10T00:00:00
PAY-00000146,INV-00000160,CUST-00008,1709.69,USD,paypal,success,2025-10-09T00:00:00,2025-10-09T00:00:00
PAY-00000147,INV-00000161,CUST-00008,1709.69,USD,bank_transfer,success,2025-11-05T00:00:00,2025-11-05T00:00:00
PAY-00000148,INV-00000162,CUST-00008,1709.69,USD,stripe,success,2025-11-26T00:00:00,2025-11-26T00:00:00
PAY-00000149,INV-00000163,CUST-00008,1709.69,USD,bank_transfer,success,2026-01-07T00:00:00,2026-01-07T00:00:00
PAY-00000150,INV-00000164,CUST-00008,1709.69,USD,stripe,success,2026-01-26T00:00:00,2026-01-26T00:00:00
PAY-00000151,INV-00000165,CUST-00008,1709.69,USD,bank_transfer,success,2026-03-07T00:00:00,2026-03-07T00:00:00
PAY-00000152,INV-00000166,CUST-00008,1709.69,USD,credit_card,success,2026-04-08T00:00:00,2026-04-08T00:00:00
PAY-00000153,INV-00000167,CUST-00008,1709.69,USD,stripe,success,2026-05-02T00:00:00,2026-05-02T00:00:00
PAY-00000154,INV-00000168,CUST-00008,1709.69,USD,bank_transfer,success,2026-06-07T00:00:00,2026-06-07T00:00:00
PAY-00000155,INV-00000170,CUST-00009,0.0,USD,credit_card,failed,,2025-10-02T00:00:00
PAY-00000156,INV-00000172,CUST-00009,2629.4,USD,paypal,success,2025-12-03T00:00:00,2025-12-03T00:00:00
PAY-00000157,INV-00000173,CUST-00009,2629.4,USD,stripe,success,2026-01-02T00:00:00,2026-01-02T00:00:00
PAY-00000158,INV-00000175,CUST-00009,2629.4,USD,credit_card,success,2026-03-11T00:00:00,2026-03-11T00:00:00
PAY-00000159,INV-00000176,CUST-00009,2629.4,USD,paypal,success,2026-04-07T00:00:00,2026-04-07T00:00:00
PAY-00000160,INV-00000177,CUST-00009,2629.4,USD,stripe,success,2026-04-25T00:00:00,2026-04-25T00:00:00
PAY-00000161,INV-00000178,CUST-00009,2629.4,USD,paypal,success,2026-06-01T00:00:00,2026-06-01T00:00:00
PAY-00000162,INV-00000179,CUST-00010,380.83,USD,stripe,success,2025-10-03T00:00:00,2025-10-03T00:00:00
PAY-00000163,INV-00000180,CUST-00010,380.83,USD,bank_transfer,success,2025-11-01T00:00:00,2025-11-01T00:00:00
PAY-00000164,INV-00000181,CUST-00010,380.83,USD,bank_transfer,success,2025-11-29T00:00:00,2025-11-29T00:00:00
PAY-00000165,INV-00000182,CUST-00010,380.83,USD,bank_transfer,success,2025-12-31T00:00:00,2025-12-31T00:00:00
PAY-00000166,INV-00000183,CUST-00010,380.83,USD,credit_card,success,2026-02-01T00:00:00,2026-02-01T00:00:00
PAY-00000167,INV-00000184,CUST-00010,380.83,USD,paypal,success,2026-02-26T00:00:00,2026-02-26T00:00:00
PAY-00000168,INV-00000185,CUST-00010,380.83,USD,credit_card,success,2026-04-03T00:00:00,2026-04-03T00:00:00
PAY-00000169,INV-00000186,CUST-00010,380.83,USD,stripe,success,2026-05-10T00:00:00,2026-05-10T00:00:00
PAY-00000170,INV-00000187,CUST-00010,380.83,USD,credit_card,success,2026-05-28T00:00:00,2026-05-28T00:00:00
PAY-00000171,INV-00000189,CUST-00011,0.0,USD,stripe,failed,,2025-06-03T00:00:00
PAY-00000172,INV-00000190,CUST-00011,445.59,USD,paypal,success,2025-07-18T00:00:00,2025-07-18T00:00:00
PAY-00000173,INV-00000191,CUST-00011,445.59,USD,stripe,success,2025-08-04T00:00:00,2025-08-04T00:00:00
PAY-00000174,INV-00000192,CUST-00011,0.0,USD,credit_card,failed,,2025-09-01T00:00:00
PAY-00000175,INV-00000193,CUST-00011,445.59,USD,credit_card,success,2025-10-14T00:00:00,2025-10-14T00:00:00
PAY-00000176,INV-00000195,CUST-00011,445.59,USD,stripe,success,2025-12-05T00:00:00,2025-12-05T00:00:00
PAY-00000177,INV-00000196,CUST-00011,445.59,USD,credit_card,success,2026-01-02T00:00:00,2026-01-02T00:00:00
PAY-00000178,INV-00000197,CUST-00011,445.59,USD,credit_card,success,2026-01-29T00:00:00,2026-01-29T00:00:00
PAY-00000179,INV-00000198,CUST-00011,445.59,USD,credit_card,success,2026-03-04T00:00:00,2026-03-04T00:00:00
PAY-00000180,INV-00000199,CUST-00011,445.59,USD,credit_card,success,2026-04-09T00:00:00,2026-04-09T00:00:00
PAY-00000181,INV-00000201,CUST-00011,445.59,USD,credit_card,success,2026-05-31T00:00:00,2026-05-31T00:00:00
PAY-00000182,INV-00000202,CUST-00012,742.98,USD,credit_card,success,2026-02-10T00:00:00,2026-02-10T00:00:00
PAY-00000183,INV-00000203,CUST-00012,742.98,USD,stripe,success,2026-03-01T00:00:00,2026-03-01T00:00:00
PAY-00000184,INV-00000204,CUST-00012,742.98,USD,credit_card,success,2026-04-13T00:00:00,2026-04-13T00:00:00
PAY-00000185,INV-00000205,CUST-00012,742.98,USD,stripe,success,2026-05-10T00:00:00,2026-05-10T00:00:00
PAY-00000186,INV-00000207,CUST-00013,71.64,USD,stripe,success,2023-10-05T00:00:00,2023-10-05T00:00:00
PAY-00000187,INV-00000208,CUST-00013,71.64,USD,stripe,success,2023-10-27T00:00:00,2023-10-27T00:00:00
PAY-00000188,INV-00000209,CUST-00013,0.0,USD,stripe,failed,,2023-11-27T00:00:00
PAY-00000189,INV-00000210,CUST-00013,71.64,USD,bank_transfer,success,2024-01-03T00:00:00,2024-01-03T00:00:00
PAY-00000190,INV-00000211,CUST-00013,71.64,USD,credit_card,success,2024-02-06T00:00:00,2024-02-06T00:00:00
PAY-00000191,INV-00000212,CUST-00013,0.0,USD,bank_transfer,failed,,2024-02-25T00:00:00
PAY-00000192,INV-00000213,CUST-00013,71.64,USD,bank_transfer,success,2024-03-26T00:00:00,2024-03-26T00:00:00
PAY-00000193,INV-00000214,CUST-00013,71.64,USD,credit_card,success,2024-04-23T00:00:00,2024-04-23T00:00:00
PAY-00000194,INV-00000215,CUST-00013,71.64,USD,credit_card,success,2024-05-26T00:00:00,2024-05-26T00:00:00
PAY-00000195,INV-00000216,CUST-00013,71.64,USD,bank_transfer,success,2024-07-01T00:00:00,2024-07-01T00:00:00
PAY-00000196,INV-00000218,CUST-00013,71.64,USD,bank_transfer,success,2024-08-22T00:00:00,2024-08-22T00:00:00
PAY-00000197,INV-00000220,CUST-00013,71.64,USD,stripe,success,2024-10-24T00:00:00,2024-10-24T00:00:00
PAY-00000198,INV-00000221,CUST-00013,71.64,USD,stripe,success,2024-11-20T00:00:00,2024-11-20T00:00:00
PAY-00000199,INV-00000222,CUST-00013,71.64,USD,stripe,success,2024-12-27T00:00:00,2024-12-27T00:00:00
PAY-00000200,INV-00000223,CUST-00013,71.64,USD,paypal,success,2025-01-23T00:00:00,2025-01-23T00:00:00
PAY-00000201,INV-00000225,CUST-00013,71.64,USD,stripe,success,2025-03-29T00:00:00,2025-03-29T00:00:00
PAY-00000202,INV-00000226,CUST-00013,71.64,USD,bank_transfer,success,2025-04-19T00:00:00,2025-04-19T00:00:00
PAY-00000203,INV-00000227,CUST-00013,71.64,USD,bank_transfer,success,2025-05-19T00:00:00,2025-05-19T00:00:00
PAY-00000204,INV-00000229,CUST-00013,71.64,USD,stripe,success,2025-07-18T00:00:00,2025-07-18T00:00:00
PAY-00000205,INV-00000230,CUST-00013,71.64,USD,credit_card,success,2025-08-28T00:00:00,2025-08-28T00:00:00
PAY-00000206,INV-00000232,CUST-00013,71.64,USD,credit_card,success,2025-10-26T00:00:00,2025-10-26T00:00:00
PAY-00000207,INV-00000233,CUST-00013,71.64,USD,stripe,success,2025-11-20T00:00:00,2025-11-20T00:00:00
PAY-00000208,INV-00000234,CUST-00013,0.0,USD,paypal,failed,,2025-12-18T00:00:00
PAY-00000209,INV-00000235,CUST-00013,71.64,USD,stripe,success,2026-01-14T00:00:00,2026-01-14T00:00:00
PAY-00000210,INV-00000236,CUST-00013,71.64,USD,bank_transfer,success,2026-02-21T00:00:00,2026-02-21T00:00:00
PAY-00000211,INV-00000237,CUST-00013,71.64,USD,credit_card,success,2026-03-23T00:00:00,2026-03-23T00:00:00
PAY-00000212,INV-00000238,CUST-00013,71.64,USD,paypal,success,2026-04-20T00:00:00,2026-04-20T00:00:00
PAY-00000213,INV-00000239,CUST-00013,71.64,USD,bank_transfer,success,2026-05-19T00:00:00,2026-05-19T00:00:00
PAY-00000214,INV-00000240,CUST-00014,5034.64,USD,paypal,success,2024-03-14T00:00:00,2024-03-14T00:00:00
PAY-00000215,INV-00000241,CUST-00014,5034.64,USD,bank_transfer,success,2024-04-24T00:00:00,2024-04-24T00:00:00
PAY-00000216,INV-00000243,CUST-00014,5034.64,USD,credit_card,success,2024-06-10T00:00:00,2024-06-10T00:00:00
PAY-00000217,INV-00000244,CUST-00014,5034.64,USD,stripe,success,2024-07-13T00:00:00,2024-07-13T00:00:00
PAY-00000218,INV-00000245,CUST-00014,5034.64,USD,bank_transfer,success,2024-08-21T00:00:00,2024-08-21T00:00:00
PAY-00000219,INV-00000247,CUST-00014,5034.64,USD,bank_transfer,success,2024-10-12T00:00:00,2024-10-12T00:00:00
PAY-00000220,INV-00000248,CUST-00014,0.0,USD,paypal,failed,,2024-11-06T00:00:00
PAY-00000221,INV-00000249,CUST-00014,5034.64,USD,bank_transfer,success,2024-12-17T00:00:00,2024-12-17T00:00:00
PAY-00000222,INV-00000250,CUST-00014,5034.64,USD,stripe,success,2025-01-08T00:00:00,2025-01-08T00:00:00
PAY-00000223,INV-00000251,CUST-00014,5034.64,USD,bank_transfer,success,2025-02-09T00:00:00,2025-02-09T00:00:00
PAY-00000224,INV-00000252,CUST-00014,5034.64,USD,paypal,success,2025-03-09T00:00:00,2025-03-09T00:00:00
PAY-00000225,INV-00000254,CUST-00014,5034.64,USD,stripe,success,2025-05-14T00:00:00,2025-05-14T00:00:00
PAY-00000226,INV-00000255,CUST-00014,5034.64,USD,paypal,success,2025-06-11T00:00:00,2025-06-11T00:00:00
