account_id,customer_id,account_type,balance,currency,status,opened_at,created_at,updated_at
ACC-00000015,FIN-000008,premium,38506.75,USD,active,2023-10-05T01:02:17,2023-10-05T01:02:17,2026-06-29T14:46:10.589025
ACC-00000016,FIN-000009,business,2361.79,USD,frozen,2026-06-25T17:56:18,2026-06-25T17:56:18,2026-06-29T14:46:10.589093
ACC-00000017,FIN-000010,premium,13701.02,USD,frozen,2024-07-10T19:07:57,2024-07-10T19:07:57,2026-06-29T14:46:10.589176
ACC-00000018,FIN-000011,premium,13315.83,USD,closed,2025-07-10T01:11:16,2025-07-10T01:11:16,2026-06-29T14:46:10.589243
ACC-00000019,FIN-000012,premium,28969.21,USD,active,2026-06-27T20:42:43,2026-06-27T20:42:43,2026-06-29T14:46:10.589309
ACC-00000020,FIN-000013,business,33069.36,USD,active,2026-01-03T23:41:52,2026-01-03T23:41:52,2026-06-29T14:46:10.589374
ACC-00000021,FIN-000014,premium,12390.81,USD,dormant,2025-06-16T21:52:12,2025-06-16T21:52:12,2026-06-29T14:46:10.589439
ACC-00000022,FIN-000015,current,7549.41,USD,active,2025-06-12T12:08:07,2025-06-12T12:08:07,2026-06-29T14:46:10.589505
ACC-00000023,FIN-000016,savings,13559.36,USD,active,2024-07-24T20:02:28,2024-07-24T20:02:28,2026-06-29T14:46:10.589570
ACC-00000024,FIN-000016,business,36723.79,USD,active,2024-08-09T05:09:03,2024-08-09T05:09:03,2026-06-29T14:46:10.589594
ACC-00000025,FIN-000017,premium,40383.44,USD,active,2025-07-12T13:54:00,2025-07-12T13:54:00,2026-06-29T14:46:10.589660
ACC-00000026,FIN-000017,premium,17827.77,USD,active,2026-06-16T02:24:22,2026-06-16T02:24:22,2026-06-29T14:46:10.589683
ACC-00000027,FIN-000018,current,27702.38,USD,dormant,2026-06-16T09:20:05,2026-06-16T09:20:05,2026-06-29T14:46:10.589751
ACC-00000028,FIN-000019,current,8828.09,USD,closed,2025-10-18T02:58:12,2025-10-18T02:58:12,2026-06-29T14:46:10.589819
ACC-00000029,FIN-000020,current,30670.84,USD,active,2025-10-02T23:01:21,2025-10-02T23:01:21,2026-06-29T14:46:10.589880
ACC-00000030,FIN-000021,current,17639.41,USD,active,2025-04-20T21:41:03,2025-04-20T21:41:03,2026-06-29T14:46:10.589942
ACC-00000031,FIN-000022,current,47834.03,USD,dormant,2026-05-09T14:06:37,2026-05-09T14:06:37,2026-06-29T14:46:10.590004
ACC-00000032,FIN-000023,business,21868.11,USD,dormant,2024-07-03T21:31:07,2024-07-03T21:31:07,2026-06-29T14:46:10.590068
ACC-00000033,FIN-000024,savings,17668.48,USD,active,2024-06-23T20:41:09,2024-06-23T20:41:09,2026-06-29T14:46:10.590130
ACC-00000034,FIN-000025,business,10381.57,USD,active,2025-07-08T13:59:36,2025-07-08T13:59:36,2026-06-29T14:46:10.590193
ACC-00000035,FIN-000026,savings,10614.08,USD,active,2026-03-29T09:38:06,2026-03-29T09:38:06,2026-06-29T14:46:10.590258
ACC-00000036,FIN-000027,premium,41176.38,USD,active,2026-05-03T05:25:42,2026-05-03T05:25:42,2026-06-29T14:46:10.590320
ACC-00000037,FIN-000027,savings,31404.46,USD,dormant,2025-04-25T13:57:51,2025-04-25T13:57:51,2026-06-29T14:46:10.590344
ACC-00000038,FIN-000028,savings,31365.75,USD,dormant,2026-04-15T18:34:25,2026-04-15T18:34:25,2026-06-29T14:46:10.590408
ACC-00000039,FIN-000029,current,37659.17,USD,closed,2026-02-03T22:49:29,2026-02-03T22:49:29,2026-06-29T14:46:10.590470
ACC-00000040,FIN-000030,current,36237.8,USD,dormant,2024-10-03T23:17:12,2024-10-03T23:17:12,2026-06-29T14:46:10.590532
ACC-00000041,FIN-000031,current,45980.76,USD,active,2026-04-26T15:57:21,2026-04-26T15:57:21,2026-06-29T14:46:10.590594
ACC-00000042,FIN-000031,current,14604.62,USD,active,2026-05-21T13:37:17,2026-05-21T13:37:17,2026-06-29T14:46:10.590622
ACC-00000043,FIN-000032,savings,28439.44,USD,active,2025-11-02T09:50:11,2025-11-02T09:50:11,2026-06-29T14:46:10.590689
ACC-00000044,FIN-000033,savings,23334.51,USD,closed,2025-07-08T17:51:10,2025-07-08T17:51:10,2026-06-29T14:46:10.590751
ACC-00000045,FIN-000034,savings,44912.0,USD,active,2024-06-02T11:39:15,2024-06-02T11:39:15,2026-06-29T14:46:10.590814
ACC-00000046,FIN-000034,premium,8853.76,USD,active,2025-08-06T00:33:02,2025-08-06T00:33:02,2026-06-29T14:46:10.590836
ACC-00000047,FIN-000035,premium,38404.12,USD,active,2026-06-25T10:48:45,2026-06-25T10:48:45,2026-06-29T14:46:10.590899
ACC-00000048,FIN-000035,premium,32232.42,USD,closed,2026-06-24T16:11:16,2026-06-24T16:11:16,2026-06-29T14:46:10.590921
ACC-00000049,FIN-000035,premium,27943.27,USD,active,2026-06-16T16:41:35,2026-06-16T16:41:35,2026-06-29T14:46:10.590942
ACC-00000050,FIN-000036,current,48218.65,USD,active,2026-02-06T23:14:18,2026-02-06T23:14:18,2026-06-29T14:46:10.591008
ACC-00000051,FIN-000037,business,49869.95,USD,active,2025-06-25T16:37:08,2025-06-25T16:37:08,2026-06-29T14:46:10.591070
ACC-00000052,FIN-000037,premium,8906.87,USD,active,2026-03-04T12:01:49,2026-03-04T12:01:49,2026-06-29T14:46:10.591091
ACC-00000053,FIN-000037,business,677.42,USD,active,2025-05-26T17:10:33,2025-05-26T17:10:33,2026-06-29T14:46:10.591111
ACC-00000054,FIN-000038,current,21533.54,USD,dormant,2026-06-06T20:41:21,2026-06-06T20:41:21,2026-06-29T14:46:10.591178
ACC-00000055,FIN-000039,savings,42901.34,USD,active,2024-01-11T22:25:14,2024-01-11T22:25:14,2026-06-29T14:46:10.591238
ACC-00000056,FIN-000040,savings,22937.68,USD,dormant,2024-07-22T18:32:36,2024-07-22T18:32:36,2026-06-29T14:46:10.591299
ACC-00000057,FIN-000041,premium,28671.49,USD,dormant,2025-05-05T23:24:30,2025-05-05T23:24:30,2026-06-29T14:46:10.591360
ACC-00000058,FIN-000042,business,31131.3,USD,active,2024-09-09T15:06:02,2024-09-09T15:06:02,2026-06-29T14:46:10.591423
ACC-00000059,FIN-000043,savings,34956.14,USD,active,2025-04-10T18:44:00,2025-04-10T18:44:00,2026-06-29T14:46:10.591487
ACC-00000060,FIN-000044,business,45579.35,USD,active,2025-11-06T09:17:05,2025-11-06T09:17:05,2026-06-29T14:46:10.591589
ACC-00000061,FIN-000044,premium,2590.23,USD,active,2025-07-02T23:41:21,2025-07-02T23:41:21,2026-06-29T14:46:10.591624
ACC-00000062,FIN-000044,premium,42305.8,USD,dormant,2025-06-18T16:38:35,2025-06-18T16:38:35,2026-06-29T14:46:10.591654
ACC-00000063,FIN-000045,current,15796.97,USD,active,2026-05-12T01:30:15,2026-05-12T01:30:15,2026-06-29T14:46:10.591780
ACC-00000064,FIN-000046,business,31677.38,USD,active,2026-05-16T21:32:42,2026-05-16T21:32:42,2026-06-29T14:46:10.591871
ACC-00000065,FIN-000046,savings,35555.35,USD,closed,2026-06-22T14:27:35,2026-06-22T14:27:35,2026-06-29T14:46:10.591901
ACC-00000066,FIN-000047,business,9543.65,USD,active,2026-06-19T20:19:00,2026-06-19T20:19:00,2026-06-29T14:46:10.591994
ACC-00000067,FIN-000047,business,48364.77,USD,dormant,2026-06-21T07:50:01,2026-06-21T07:50:01,2026-06-29T14:46:10.592028
ACC-00000068,FIN-000048,current,38116.16,USD,active,2026-05-25T09:24:42,2026-05-25T09:24:42,2026-06-29T14:46:10.592126
ACC-00000069,FIN-000048,current,13384.93,USD,active,2026-01-09T20:33:22,2026-01-09T20:33:22,2026-06-29T14:46:10.592157
ACC-00000070,FIN-000049,savings,37772.14,USD,active,2025-06-29T15:35:40,2025-06-29T15:35:40,2026-06-29T14:46:10.592265
ACC-00000071,FIN-000050,savings,2635.53,USD,active,2026-04-17T03:57:26,2026-04-17T03:57:26,2026-06-29T14:46:10.592395
ACC-00000072,FIN-000050,current,16538.22,USD,active,2025-09-17T00:40:27,2025-09-17T00:40:27,2026-06-29T14:46:10.592434
ACC-00000073,FIN-000050,savings,18509.94,USD,frozen,2025-02-01T15:43:41,2025-02-01T15:43:41,2026-06-29T14:46:10.592472
ACC-00000074,FIN-000051,current,29290.98,USD,active,2026-04-23T18:47:02,2026-04-23T18:47:02,2026-06-29T14:46:10.592577
ACC-00000075,FIN-000052,premium,12044.3,USD,closed,2026-04-29T01:49:02,2026-04-29T01:49:02,2026-06-29T14:46:10.592720
ACC-00000076,FIN-000052,premium,21890.95,USD,frozen,2026-05-26T20:47:09,2026-05-26T20:47:09,2026-06-29T14:46:10.592761
ACC-00000077,FIN-000053,business,43596.31,USD,active,2026-06-14T22:18:42,2026-06-14T22:18:42,2026-06-29T14:46:10.592863
ACC-00000078,FIN-000053,business,25981.66,USD,active,2026-06-24T08:51:22,2026-06-24T08:51:22,2026-06-29T14:46:10.592901
ACC-00000079,FIN-000054,business,24340.72,USD,dormant,2026-06-04T14:14:55,2026-06-04T14:14:55,2026-06-29T14:46:10.592978
ACC-00000080,FIN-000054,premium,12264.78,USD,active,2026-05-10T08:56:12,2026-05-10T08:56:12,2026-06-29T14:46:10.593002
ACC-00000081,FIN-000055,premium,12694.68,USD,closed,2025-09-07T19:55:40,2025-09-07T19:55:40,2026-06-29T14:46:10.593071
ACC-00000082,FIN-000055,savings,37165.31,USD,active,2025-07-30T05:51:52,2025-07-30T05:51:52,2026-06-29T14:46:10.593094
ACC-00000083,FIN-000056,premium,49251.49,USD,active,2025-03-04T06:01:03,2025-03-04T06:01:03,2026-06-29T14:46:10.593160
ACC-00000084,FIN-000056,business,32485.2,USD,active,2025-04-09T17:14:00,2025-04-09T17:14:00,2026-06-29T14:46:10.593182
ACC-00000085,FIN-000056,premium,5896.06,USD,dormant,2025-11-04T14:29:13,2025-11-04T14:29:13,2026-06-29T14:46:10.593203
ACC-00000086,FIN-000057,savings,38825.75,USD,active,2025-08-24T10:38:04,2025-08-24T10:38:04,2026-06-29T14:46:10.593270
ACC-00000087,FIN-000058,savings,14370.58,USD,active,2026-06-10T01:26:11,2026-06-10T01:26:11,2026-06-29T14:46:10.593335
ACC-00000088,FIN-000058,premium,8093.94,USD,active,2026-06-09T17:11:54,2026-06-09T17:11:54,2026-06-29T14:46:10.593357
ACC-00000089,FIN-000059,business,24115.24,USD,closed,2025-01-20T21:40:22,2025-01-20T21:40:22,2026-06-29T14:46:10.593435
ACC-00000090,FIN-000060,savings,10515.11,USD,active,2026-01-21T23:13:18,2026-01-21T23:13:18,2026-06-29T14:46:10.593547
ACC-00000091,FIN-000060,business,9782.55,USD,active,2024-11-13T18:11:37,2024-11-13T18:11:37,2026-06-29T14:46:10.593589
ACC-00000092,FIN-000061,current,12457.76,USD,dormant,2025-07-28T04:08:01,2025-07-28T04:08:01,2026-06-29T14:46:10.593701
ACC-00000093,FIN-000062,business,41933.82,USD,dormant,2024-08-08T20:33:01,2024-08-08T20:33:01,2026-06-29T14:46:10.593807
ACC-00000094,FIN-000062,premium,46558.53,USD,active,2025-02-07T15:47:20,2025-02-07T15:47:20,2026-06-29T14:46:10.593852
ACC-00000095,FIN-000063,savings,891.18,USD,active,2024-10-12T05:31:00,2024-10-12T05:31:00,2026-06-29T14:46:10.593980
ACC-00000096,FIN-000064,business,46007.74,USD,active,2026-05-27T02:17:43,2026-05-27T02:17:43,2026-06-29T14:46:10.594111
ACC-00000097,FIN-000065,premium,26837.24,USD,active,2026-04-03T00:35:38,2026-04-03T00:35:38,2026-06-29T14:46:10.594212
ACC-00000098,FIN-000065,current,36124.71,USD,dormant,2026-06-12T01:27:09,2026-06-12T01:27:09,2026-06-29T14:46:10.594276
ACC-00000099,FIN-000066,premium,25766.08,USD,active,2026-02-02T06:33:58,2026-02-02T06:33:58,2026-06-29T14:46:10.594383
ACC-00000100,FIN-000066,savings,21120.38,USD,active,2025-11-22T19:02:45,2025-11-22T19:02:45,2026-06-29T14:46:10.594421
ACC-00000101,FIN-000067,premium,16483.45,USD,active,2025-12-15T08:55:05,2025-12-15T08:55:05,2026-06-29T14:46:10.594523
ACC-00000102,FIN-000068,current,44592.99,USD,dormant,2025-05-26T01:33:54,2025-05-26T01:33:54,2026-06-29T14:46:10.594624
ACC-00000103,FIN-000068,savings,4711.63,USD,closed,2025-08-04T20:22:55,2025-08-04T20:22:55,2026-06-29T14:46:10.594675
ACC-00000104,FIN-000069,savings,19551.29,USD,active,2026-03-31T20:58:14,2026-03-31T20:58:14,2026-06-29T14:46:10.594778
ACC-00000105,FIN-000069,business,6772.92,USD,active,2026-03-14T05:59:28,2026-03-14T05:59:28,2026-06-29T14:46:10.594817
ACC-00000106,FIN-000069,business,40115.92,USD,frozen,2026-06-06T13:57:14,2026-06-06T13:57:14,2026-06-29T14:46:10.594855
ACC-00000107,FIN-000070,savings,35987.56,USD,active,2025-12-21T21:12:07,2025-12-21T21:12:07,2026-06-29T14:46:10.594956
ACC-00000108,FIN-000070,premium,11981.31,USD,active,2025-12-09T05:25:09,2025-12-09T05:25:09,2026-06-29T14:46:10.594994
ACC-00000109,FIN-000071,business,15335.07,USD,active,2023-11-02T00:22:27,2023-11-02T00:22:27,2026-06-29T14:46:10.595096
ACC-00000110,FIN-000072,current,18924.88,USD,active,2025-12-21T17:35:47,2025-12-21T17:35:47,2026-06-29T14:46:10.595193
ACC-00000111,FIN-000073,savings,25966.95,USD,closed,2025-11-23T15:50:49,2025-11-23T15:50:49,2026-06-29T14:46:10.595264
ACC-00000112,FIN-000074,current,4683.53,USD,dormant,2026-04-28T09:50:11,2026-04-28T09:50:11,2026-06-29T14:46:10.595329
ACC-00000113,FIN-000075,business,1588.02,USD,frozen,2025-03-23T17:52:15,2025-03-23T17:52:15,2026-06-29T14:46:10.595393
ACC-00000114,FIN-000076,business,6768.26,USD,active,2025-04-03T20:49:40,2025-04-03T20:49:40,2026-06-29T14:46:10.595457
ACC-00000115,FIN-000077,premium,20530.2,USD,active,2023-11-04T03:57:23,2023-11-04T03:57:23,2026-06-29T14:46:10.595519
ACC-00000116,FIN-000077,premium,10204.33,USD,active,2025-05-02T04:02:57,2025-05-02T04:02:57,2026-06-29T14:46:10.595542
ACC-00000117,FIN-000078,premium,45044.1,USD,active,2026-03-04T01:43:29,2026-03-04T01:43:29,2026-06-29T14:46:10.595605
ACC-00000118,FIN-000079,savings,3060.38,USD,active,2026-03-14T09:57:14,2026-03-14T09:57:14,2026-06-29T14:46:10.595668
ACC-00000119,FIN-000080,current,6071.78,USD,frozen,2025-02-03T10:12:58,2025-02-03T10:12:58,2026-06-29T14:46:10.595729
ACC-00000120,FIN-000081,business,13449.98,USD,active,2026-05-14T10:08:43,2026-05-14T10:08:43,2026-06-29T14:46:10.595792
ACC-00000121,FIN-000081,business,8141.38,USD,active,2026-03-16T21:41:47,2026-03-16T21:41:47,2026-06-29T14:46:10.595817
ACC-00000122,FIN-000082,premium,25846.2,USD,active,2026-05-16T22:21:46,2026-05-16T22:21:46,2026-06-29T14:46:10.595882
ACC-00000123,FIN-000083,business,389.5,USD,active,2024-07-28T06:05:01,2024-07-28T06:05:01,2026-06-29T14:46:10.595945
ACC-00000124,FIN-000084,premium,49684.59,USD,active,2024-08-26T10:51:42,2024-08-26T10:51:42,2026-06-29T14:46:10.596007
ACC-00000125,FIN-000085,premium,28672.8,USD,active,2026-01-12T02:01:56,2026-01-12T02:01:56,2026-06-29T14:46:10.596070
ACC-00000126,FIN-000085,savings,17159.41,USD,frozen,2026-05-27T00:31:10,2026-05-27T00:31:10,2026-06-29T14:46:10.596093
ACC-00000127,FIN-000086,business,26114.76,USD,active,2026-01-25T08:13:07,2026-01-25T08:13:07,2026-06-29T14:46:10.596157
ACC-00000128,FIN-000087,premium,34327.5,USD,dormant,2024-06-03T16:19:23,2024-06-03T16:19:23,2026-06-29T14:46:10.596220
ACC-00000129,FIN-000088,premium,1875.72,USD,frozen,2025-08-23T19:04:12,2025-08-23T19:04:12,2026-06-29T14:46:10.596281
ACC-00000130,FIN-000089,current,46944.08,USD,active,2026-02-24T20:43:43,2026-02-24T20:43:43,2026-06-29T14:46:10.596346
ACC-00000131,FIN-000090,premium,43387.99,USD,active,2024-11-06T19:20:48,2024-11-06T19:20:48,2026-06-29T14:46:10.596408
ACC-00000132,FIN-000090,premium,2296.74,USD,active,2026-05-01T17:31:55,2026-05-01T17:31:55,2026-06-29T14:46:10.596429
ACC-00000133,FIN-000091,premium,8541.24,USD,active,2026-05-25T10:42:16,2026-05-25T10:42:16,2026-06-29T14:46:10.596492
ACC-00000134,FIN-000092,current,28514.85,USD,closed,2026-06-28T14:34:22,2026-06-28T14:34:22,2026-06-29T14:46:10.596555
ACC-00000135,FIN-000093,savings,39234.29,USD,closed,2026-05-24T11:45:56,2026-05-24T11:45:56,2026-06-29T14:46:10.596617
ACC-00000136,FIN-000093,current,37612.97,USD,closed,2024-07-12T05:23:51,2024-07-12T05:23:51,2026-06-29T14:46:10.596646
ACC-00000137,FIN-000094,current,38471.46,USD,active,2026-05-04T22:48:16,2026-05-04T22:48:16,2026-06-29T14:46:10.596717
ACC-00000138,FIN-000095,savings,17709.17,USD,active,2024-10-21T00:25:17,2024-10-21T00:25:17,2026-06-29T14:46:10.596781
ACC-00000139,FIN-000096,savings,26430.09,USD,active,2026-01-13T02:07:44,2026-01-13T02:07:44,2026-06-29T14:46:10.596843
ACC-00000140,FIN-000097,business,25693.37,USD,active,2024-07-15T12:41:24,2024-07-15T12:41:24,2026-06-29T14:46:10.596905
ACC-00000141,FIN-000098,business,7542.31,USD,active,2024-08-27T16:00:01,2024-08-27T16:00:01,2026-06-29T14:46:10.596968
ACC-00000142,FIN-000099,current,39198.76,USD,dormant,2026-02-25T10:38:23,2026-02-25T10:38:23,2026-06-29T14:46:10.597030
ACC-00000143,FIN-000100,business,21049.72,USD,active,2025-11-25T19:44:57,2025-11-25T19:44:57,2026-06-29T14:46:10.597092
ACC-00000144,FIN-000101,savings,27907.73,USD,active,2025-08-29T22:57:47,2025-08-29T22:57:47,2026-06-29T14:46:10.597154
ACC-00000145,FIN-000102,business,12329.24,USD,active,2025-01-22T15:19:06,2025-01-22T15:19:06,2026-06-29T14:46:10.597217
ACC-00000146,FIN-000103,savings,11257.04,USD,dormant,2024-09-03T12:24:08,2024-09-03T12:24:08,2026-06-29T14:46:10.597278
ACC-00000147,FIN-000104,business,31413.93,USD,active,2026-05-11T02:20:20,2026-05-11T02:20:20,2026-06-29T14:46:10.597341
ACC-00000148,FIN-000104,business,7854.82,USD,dormant,2026-06-12T03:18:59,2026-06-12T03:18:59,2026-06-29T14:46:10.597363
ACC-00000149,FIN-000104,premium,47080.69,USD,closed,2026-01-14T19:05:24,2026-01-14T19:05:24,2026-06-29T14:46:10.597383
ACC-00000150,FIN-000105,premium,20426.58,USD,active,2026-06-26T18:31:46,2026-06-26T18:31:46,2026-06-29T14:46:10.597449
ACC-00000151,FIN-000105,savings,18027.68,USD,active,2026-05-12T12:34:52,2026-05-12T12:34:52,2026-06-29T14:46:10.597470
ACC-00000152,FIN-000105,premium,24619.32,USD,closed,2026-06-21T16:22:56,2026-06-21T16:22:56,2026-06-29T14:46:10.597490
ACC-00000153,FIN-000106,premium,44294.97,USD,active,2024-12-03T07:37:50,2024-12-03T07:37:50,2026-06-29T14:46:10.597552
ACC-00000154,FIN-000107,savings,18306.78,USD,active,2026-05-05T23:45:56,2026-05-05T23:45:56,2026-06-29T14:46:10.597615
ACC-00000155,FIN-000107,business,7356.21,USD,closed,2026-03-21T20:12:46,2026-03-21T20:12:46,2026-06-29T14:46:10.597637
ACC-00000156,FIN-000107,premium,7454.53,USD,closed,2026-04-21T13:53:26,2026-04-21T13:53:26,2026-06-29T14:46:10.597657
ACC-00000157,FIN-000108,premium,33672.28,USD,active,2025-05-08T08:13:03,2025-05-08T08:13:03,2026-06-29T14:46:10.597721
ACC-00000158,FIN-000109,business,2888.08,USD,active,2026-05-02T13:35:43,2026-05-02T13:35:43,2026-06-29T14:46:10.597786
ACC-00000159,FIN-000110,savings,8144.49,USD,active,2024-04-09T10:20:19,2024-04-09T10:20:19,2026-06-29T14:46:10.597848
ACC-00000160,FIN-000111,current,31047.27,USD,active,2024-08-31T14:14:36,2024-08-31T14:14:36,2026-06-29T14:46:10.597909
ACC-00000161,FIN-000111,premium,45542.49,USD,closed,2024-01-09T10:53:50,2024-01-09T10:53:50,2026-06-29T14:46:10.597929
ACC-00000162,FIN-000112,business,14149.8,USD,active,2026-05-10T01:57:07,2026-05-10T01:57:07,2026-06-29T14:46:10.597993
ACC-00000163,FIN-000113,business,28037.64,USD,dormant,2026-01-17T08:46:31,2026-01-17T08:46:31,2026-06-29T14:46:10.598057
ACC-00000164,FIN-000113,premium,43277.89,USD,active,2026-02-12T14:47:21,2026-02-12T14:47:21,2026-06-29T14:46:10.598079
ACC-00000165,FIN-000114,current,11907.67,USD,closed,2026-03-09T03:37:47,2026-03-09T03:37:47,2026-06-29T14:46:10.598141
ACC-00000166,FIN-000114,savings,47593.7,USD,active,2026-03-06T12:00:09,2026-03-06T12:00:09,2026-06-29T14:46:10.598162
ACC-00000167,FIN-000115,premium,12969.93,USD,active,2023-11-26T20:57:39,2023-11-26T20:57:39,2026-06-29T14:46:10.598226
ACC-00000168,FIN-000116,business,45871.44,USD,closed,2026-05-12T08:38:58,2026-05-12T08:38:58,2026-06-29T14:46:10.598288
ACC-00000169,FIN-000116,savings,48734.51,USD,active,2026-06-07T04:00:51,2026-06-07T04:00:51,2026-06-29T14:46:10.598310
ACC-00000170,FIN-000117,savings,2621.01,USD,active,2025-10-06T19:07:22,2025-10-06T19:07:22,2026-06-29T14:46:10.598371
ACC-00000171,FIN-000118,current,946.27,USD,active,2026-01-14T09:01:36,2026-01-14T09:01:36,2026-06-29T14:46:10.598434
ACC-00000172,FIN-000119,current,22627.72,USD,active,2025-01-08T12:17:57,2025-01-08T12:17:57,2026-06-29T14:46:10.598498
ACC-00000173,FIN-000120,premium,37876.28,USD,active,2026-03-30T02:52:07,2026-03-30T02:52:07,2026-06-29T14:46:10.598560
ACC-00000174,FIN-000121,current,36659.13,USD,active,2025-09-30T00:30:48,2025-09-30T00:30:48,2026-06-29T14:46:10.598623
ACC-00000175,FIN-000122,business,46121.49,USD,active,2026-01-22T11:05:40,2026-01-22T11:05:40,2026-06-29T14:46:10.598694
ACC-00000176,FIN-000122,savings,48076.42,USD,dormant,2025-08-16T07:51:49,2025-08-16T07:51:49,2026-06-29T14:46:10.598717
ACC-00000177,FIN-000122,business,35008.04,USD,dormant,2025-08-25T01:49:46,2025-08-25T01:49:46,2026-06-29T14:46:10.598737
ACC-00000178,FIN-000123,savings,33093.3,USD,active,2025-08-05T03:33:37,2025-08-05T03:33:37,2026-06-29T14:46:10.598806
ACC-00000179,FIN-000124,savings,7008.34,USD,frozen,2025-05-15T01:18:44,2025-05-15T01:18:44,2026-06-29T14:46:10.598868
ACC-00000180,FIN-000125,current,29659.44,USD,active,2026-06-04T10:42:53,2026-06-04T10:42:53,2026-06-29T14:46:10.598930
ACC-00000181,FIN-000125,savings,21262.46,USD,dormant,2025-09-01T12:05:49,2025-09-01T12:05:49,2026-06-29T14:46:10.598952
ACC-00000182,FIN-000125,savings,38480.78,USD,active,2025-04-21T04:16:53,2025-04-21T04:16:53,2026-06-29T14:46:10.598972
ACC-00000183,FIN-000126,current,26120.24,USD,frozen,2026-04-05T05:33:42,2026-04-05T05:33:42,2026-06-29T14:46:10.599037
ACC-00000184,FIN-000126,business,12834.11,USD,active,2026-04-03T10:31:25,2026-04-03T10:31:25,2026-06-29T14:46:10.599059
ACC-00000185,FIN-000127,premium,22184.56,USD,active,2025-09-28T23:21:34,2025-09-28T23:21:34,2026-06-29T14:46:10.599122
ACC-00000186,FIN-000127,business,14781.18,USD,active,2026-01-21T14:04:23,2026-01-21T14:04:23,2026-06-29T14:46:10.599144
ACC-00000187,FIN-000128,business,30789.52,USD,active,2026-01-14T07:21:15,2026-01-14T07:21:15,2026-06-29T14:46:10.599208
ACC-00000188,FIN-000129,business,49794.5,USD,active,2026-02-04T23:25:01,2026-02-04T23:25:01,2026-06-29T14:46:10.599271
ACC-00000189,FIN-000130,business,11336.79,USD,active,2025-07-26T22:13:28,2025-07-26T22:13:28,2026-06-29T14:46:10.599334
ACC-00000190,FIN-000131,savings,14814.47,USD,active,2026-01-05T06:15:21,2026-01-05T06:15:21,2026-06-29T14:46:10.599399
ACC-00000191,FIN-000132,savings,25065.38,USD,active,2025-11-02T22:16:57,2025-11-02T22:16:57,2026-06-29T14:46:10.599481
ACC-00000192,FIN-000133,savings,37936.7,USD,frozen,2024-06-05T22:47:05,2024-06-05T22:47:05,2026-06-29T14:46:10.599543
ACC-00000193,FIN-000134,current,2563.6,USD,dormant,2025-06-29T08:05:45,2025-06-29T08:05:45,2026-06-29T14:46:10.599607
ACC-00000194,FIN-000134,savings,16968.97,USD,active,2024-02-17T16:49:34,2024-02-17T16:49:34,2026-06-29T14:46:10.599628
ACC-00000195,FIN-000135,savings,36854.51,USD,dormant,2026-05-29T16:44:16,2026-05-29T16:44:16,2026-06-29T14:46:10.599691
ACC-00000196,FIN-000135,current,43066.98,USD,active,2026-06-23T03:49:36,2026-06-23T03:49:36,2026-06-29T14:46:10.599713
ACC-00000197,FIN-000136,premium,44716.73,USD,active,2026-03-03T11:28:28,2026-03-03T11:28:28,2026-06-29T14:46:10.599777
ACC-00000198,FIN-000137,premium,28857.95,USD,closed,2026-01-30T13:27:06,2026-01-30T13:27:06,2026-06-29T14:46:10.599840
